Name,Type,BillingStreet,BillingCity,BillingState,BillingPostalCode,BillingCountry,BillingLatitude,BillingLongitude,BillingGeocodeAccuracy,ShippingStreet,ShippingCity,ShippingState,ShippingPostalCode,ShippingCountry,ShippingLatitude,ShippingLongitude,ShippingGeocodeAccuracy,Phone,Fax,AccountNumber,Website,Sic,Industry,AnnualRevenue,NumberOfEmployees,Ownership,TickerSymbol,Description,Rating,Site,Jigsaw,AccountSource,SicDesc,OrderApi__Account_Email__c,OrderApi__Annual_Engagement_Score__c,OrderApi__Disable_Badge_Flow_down__c,OrderApi__Lifetime_Engagement_Score__c,OrderApi__Outstanding_Credits__c,OrderApi__Price_Rules_Usages__c,OrderApi__Primary_Contact__c,CPBase__Restrict_Assignment_Visibility__c,DonorApi__Accepts_Unsolicited_Proposals__c,DonorApi__Active_Recurring_Gift__c,DonorApi__Annual_Giving_Total__c,DonorApi__Auto_Calculate_Household_Greetings__c,DonorApi__Classification__c,DonorApi__Do_Not_Solicit__c,DonorApi__First_Gift_Date__c,DonorApi__Funding_Cycle__c,DonorApi__Gift_Opportunities__c,DonorApi__Gifts_Outstanding__c,DonorApi__Gifts_Received__c,DonorApi__Gives_Anonymously__c,DonorApi__Has_Open_Gift_Opportunity__c,DonorApi__Household_Default_Greeting_Type__c,DonorApi__Household_Email__c,DonorApi__Household_Formal_Greeting__c,DonorApi__Household_Informal_Greeting__c,DonorApi__Largest_Gift__c,DonorApi__Last_Gift_Amount__c,DonorApi__Last_Gift_Date__c,DonorApi__Matches_Employee_Giving__c,DonorApi__Next_Funding_Cycle_Month__c,DonorApi__Num_Open_Gift_Opportunities__c,DonorApi__Organizational_Recognition_Name__c,DonorApi__Primary_Relationship_Manager__c,OrderApi__Restrict_Assignment_Visibility__c,OrderApi__Privacy_Settings__c,Errors,Id
FON-ABC Corporation,Member,932 N Kenmore St,Arlington,Virginia,22201,United States,38.884071,-77.100456,Address,932 N Kenmore St,Arlington,Virginia,22201,United States,,,,123-456-7890,,0014W000020Etp9QAC,www.Initech.com,,Technology,50000000,257,Private,,A wide range of competitively priced products that consistently meet their needs for manufacturing other value-added products.,,,,,,adwyer@mailinator.com,300,false,1500,9891,"{""a1C6A000001xEVmUAM"":1,""a1C3s0000043DpZEAU"":1,""a1C6A000001Bn7bUAC"":4,""a1C3s0000040EVzEAM"":4,""a1C6A000002MQRqUAO"":1,""a1C6A000002MQSFUA4"":1,""a1C6A000001CkreUAC"":1,""a1C3s000003oNf4EAE"":1,""a1C3s000003oNf9EAE"":2,""a1C3s000003oNf6EAE"":2,""a1C6A000001Bn7KUAS"":1,""a1C6A000001xF6gUAE"":10,""a1C6A000002zsKwUAI"":3,""a1C6A000002zsKrUAI"":3,""a1C6A000002zsKXUAY"":2,""a1C6A000001Bn4vUAC"":2,""a1C6A000001CkroUAC"":2,""a1C6A000001Bn4wUAC"":8,""a1C6A000002LWudUAG"":1,""a1C6A000001Bn7dUAC"":2,""a1C6A000001Bn1HUAS"":2,""a1C6A000001Bn7ZUAS"":8,""a1C6A000001CbcfUAC"":2,""a1C6A000001Bn7XUAS"":2,""a1C1I0000006w0bUAA"":2,""a1C1I0000006LRPUA2"":1,""a1C1I000000DSQgUAO"":2,""a1C1I000000DSQ6UAO"":7,""a1C1I000000DSOQUA4"":2,""a1C1I000000DSQRUA4"":1,""a1C1I000000DSOPUA4"":2,""a1C1I000000DSOdUAO"":1,""a1C1I000000DSQNUA4"":1,""a1C1I000000DSPnUAO"":1,""a1C1I000000DSPfUAO"":1,""a1C1I000000DSPcUAO"":1,""a1C1I000000DSPYUA4"":2,""a1C1I000000DSOXUA4"":3,""a1C1I000000DSPbUAO"":4,""a1C1I000000DSPXUA4"":1,""a1C1I000000DSPVUA4"":2,""a1C1I000000DSPQUA4"":2,""a1C1I000000DSQDUA4"":1,""a1C1I000000DSQFUA4"":2,""a1C1I000000DSPzUAO"":1,""a1C1I000000DSQZUA4"":2,""a1C1I000000DSPNUA4"":1,""a1C1I000000DSPJUA4"":1,""a1C1I000000DSPFUA4"":1,""a1C1I000000DSPBUA4"":1,""a1C1I000000DSOWUA4"":1,""a1C1I000000DSPwUAO"":1,""a1C1I000000DSPtUAO"":1,""a1C1I000000DSQXUA4"":13,""a1C1I000000DSQWUA4"":11,""a1C1I000000DSPAUA4"":1,""a1C1I000000DSPEUA4"":1,""a1C1I000000DSPIUA4"":1,""a1C1I000000DSPLUA4"":1,""a1C1I000000DSQEUA4"":3,""a1C1I000000DSQCUA4"":1,""a1C1I000000DSOYUA4"":1,""a1C1I000000DSPUUA4"":4,""a1C1I000000DSPWUA4"":3,""a1C1I000000DSPaUAO"":3,""a1C1I000000DSQOUA4"":2,""a1C1I000000DSPRUA4"":3,""a1C1I000000DSPSUA4"":1,""a1C1I000000DSPZUA4"":1,""a1C1I000000DSPTUA4"":1,""a1C1I000000DSOZUA4"":1,""a1C1I000000DSOOUA4"":1,""a1C1I000000DSOcUAO"":2,""a1C1I000000DSQJUA4"":1,""a1C1I000000DSQVUA4"":1,""a1C1I000000DSPlUAO"":1,""a1C1I000000DSQPUA4"":1,""a1C1I0000006LRKUA2"":1,""a1C6A000001Bn7WUAS"":5,""a1C6A000001Bn7cUAC"":14,""a1C6A000001Bn2gUAC"":2,""a1C6A000001D4zMUAS"":12,""a1C6A000001CkrjUAC"":4,""a1C6A000001Bn4tUAC"":3,""a1C6A000001Bn7YUAS"":2,""a1C6A000002LWuYUAW"":1,""a1C6A000001Bn7DUAS"":2,""a1C6A000001x2Y3UAI"":3,""a1C6A000001Bn2hUAC"":3,""a1C6A000001xEPeUAM"":7,""a1C6A000001xF82UAE"":2,""a1C6A000002zsLLUAY"":3,""a1C6A000002zsLBUAY"":3,""a1C6A000002zsLVUAY"":3,""a1C6A000001w9oeUAA"":1,""a1C6A000002zsKcUAI"":1,""a1C6A000002Mi1pUAC"":1,""a1C6A000001x2SeUAI"":1,""a1C3s000003oNeyEAE"":2,""a1C3s000003oNf3EAE"":1,""a1C3s000003oNf7EAE"":1,""a1C3s000003oNfAEAU"":1,""a1C6A000002MPpEUAW"":1,""a1C6A000002MQRvUAO"":1,""a1C6A000002MQSAUA4"":1}",003R000001XNsDaIAL,false,false,false,,false,,false,,,,,,false,false,Household Informal Greeting,,,,,,,true,,,,,false,private,,001R000001lCyNaIAK
FON-Walmart,Member,99 H Street Northwest,Washington,District of Columbia,20001,United States,38.90043,-77.011967,Address,99 H Street Northwest,Washington,District of Columbia,20001,United States,,,,+44 2768 192771,,0014W000020EtpAQAS,,,,,,,,,,,,,,celiawallace@mailinator.com,200,false,200,,"{""a1C6A0000031dOrUAI"":1,""a1C1I000000DSOPUA4"":1,""a1C1I000000DSQZUA4"":1,""a1C1I000000DSPoUAO"":1,""a1C1I000000DSPeUAO"":1,""a1C1I000000DSPXUA4"":1,""a1C1I000000DSPUUA4"":1,""a1C1I000000DSPRUA4"":1,""a1C1I000000DSPzUAO"":1,""a1C1I000000DSQEUA4"":1,""a1C1I000000DSPIUA4"":1,""a1C1I000000DSPEUA4"":1,""a1C1I000000DSPCUA4"":1,""a1C1I000000DSPMUA4"":1,""a1C1I000000DSPJUA4"":1,""a1C1I000000DSPGUA4"":2,""a1C1I000000DSPBUA4"":2,""a1C1I000000DSPwUAO"":1,""a1C1I000000DSP9UAO"":1,""a1C1I000000DSP4UAO"":1,""a1C1I000000DSP1UAO"":1,""a1C1I000000DSOzUAO"":1,""a1C1I000000DSPtUAO"":1,""a1C1I000000DSOUUA4"":1,""a1C1I000000DSP0UAO"":1,""a1C1I000000DSP3UAO"":1,""a1C1I000000DSP6UAO"":1,""a1C1I000000DSOuUAO"":1,""a1C1I000000DSOVUA4"":2,""a1C1I000000DSPDUA4"":2,""a1C1I000000DSPHUA4"":1,""a1C1I000000DSPKUA4"":2,""a1C1I000000DSPNUA4"":2,""a1C1I000000DSQFUA4"":1,""a1C1I000000DSQXUA4"":8,""a1C1I000000DSOXUA4"":1,""a1C1I000000DSPSUA4"":1,""a1C1I000000DSPVUA4"":1,""a1C1I000000DSPZUA4"":1,""a1C1I000000DSQKUA4"":1,""a1C1I000000DSQUUA4"":1,""a1C1I000000DSQIUA4"":1}",003R000001XNsEnIAL,false,false,false,,false,,false,,,,,,false,false,Household Informal Greeting,,,,,,,true,,,,,false,private,,001R000001lCyNbIAK
FON-Exxon Mobil,Member,1651 Just Rd,Flower Mound,Texas,75028,United States,33.0363,-97.0606,Zip,4407 Masterson Rd,Blaine,District of Columbia,98230,United States,,,,(430)-755-2323,,0014W000020EtpBQAS,,,Chemicals,,,,,,,,,,,chrisbennett@mailinator.com,150,false,150,,"{""a1C1I000000DSOOUA4"":1,""a1C1I000000DSOZUA4"":1,""a1C1I000000DSQXUA4"":7,""a1C1I000000DSQKUA4"":2,""a1C1I000000DSPdUAO"":1,""a1C1I000000DSPYUA4"":1,""a1C1I000000DSPWUA4"":1,""a1C1I000000DSPTUA4"":1,""a1C1I000000DSOXUA4"":1,""a1C1I000000DSQ0UAO"":1,""a1C1I000000DSPOUA4"":1,""a1C1I000000DSPLUA4"":1,""a1C1I000000DSPJUA4"":1,""a1C1I000000DSPBUA4"":1,""a1C1I000000DSPxUAO"":1,""a1C1I000000DSPuUAO"":1,""a1C1I000000DSOVUA4"":1,""a1C1I000000DSPIUA4"":1,""a1C1I000000DSPKUA4"":1,""a1C1I000000DSPMUA4"":1,""a1C1I000000DSPPUA4"":1,""a1C1I000000DSQCUA4"":1,""a1C1I000000DSPRUA4"":1,""a1C1I000000DSPUUA4"":1,""a1C1I000000DSPXUA4"":1,""a1C1I000000DSPcUAO"":1,""a1C1I000000DSPeUAO"":1,""a1C1I000000DSQUUA4"":2,""a1C1I000000DSQIUA4"":1,""a1C1I000000DSOPUA4"":1}",003R000001XNsErIAL,false,false,false,,false,,false,,,,,,false,false,Household Informal Greeting,,,,,,,true,,,,,false,private,,001R000001lCyNcIAK
FON-Chevron,Customer - Direct,Mittelstrasse 32,Bern,,,Switzerland,46.95544318614317,7.434305275860712,Block,Chemin des Grottes 14,Fribourg,,,Switzerland,,,,+41 92 176 4283,,0014W000020EtpCQAS,,,Chemicals,,,,,,,,,,,lauraortiz@mailinator.com,150,false,150,,"{""a1C1I000000DSOOUA4"":1,""a1C1I000000DSOpUAO"":1,""a1C1I000000DSOnUAO"":1,""a1C1I000000DSOlUAO"":1,""a1C1I000000DSOjUAO"":1,""a1C1I000000DSOgUAO"":1,""a1C1I000000DSOLUA4"":1,""a1C1I000000DSOaUAO"":2,""a1C1I000000DSPcUAO"":1,""a1C1I000000DSPWUA4"":1,""a1C1I000000DSPUUA4"":1,""a1C1I000000DSOXUA4"":1,""a1C1I000000DSQGUA4"":1,""a1C1I000000DSPxUAO"":1,""a1C1I000000DSPuUAO"":1,""a1C1I000000DSQWUA4"":1,""a1C1I000000DSQXUA4"":3,""a1C1I000000DSQUUA4"":2,""a1C1I000000DSPRUA4"":1,""a1C1I000000DSPVUA4"":1,""a1C1I000000DSPYUA4"":1,""a1C1I000000DSQ0UAO"":1,""a1C1I000000DSQOUA4"":1,""a1C1I000000DSOfUAO"":1,""a1C1I000000DSOhUAO"":1,""a1C1I000000DSOkUAO"":1,""a1C1I000000DSOmUAO"":1,""a1C1I000000DSOoUAO"":1,""a1C1I000000DSOqUAO"":1}",003R000001XNsFAIA1,false,false,false,,false,,false,,,,,,false,false,Household Informal Greeting,,,,,,,true,,,,,false,private,,001R000001lCyNdIAK
FON-Berkshire Hathaway,Member,10423 Montrose Avenue,Bethesda,Maryland,20814,United States,39.027116,-77.100062,Block,10423 Montrose Avenue,Bethesda,Maryland,20814,United States,,,,(766)-390-6699,,0014W000020EtpDQAS,https://www.berkshirehathawayhs.com/,,Banking,,,,,"© 2018 BHH Affiliates, LLC. Real Estate Brokerage Services are offered through the network member franchisees of BHH Affiliates, LLC. Most franchisees are independently owned and operated. Berkshire Hathaway Home Services and the Berkshire Hathaway HomeServices symbol are registered marks of HomeServices of America, Inc. ®

Equal Housing Opportunity. 

BHH Affiliates, LLC is a Delaware limited liability company. Its principal office is located at 18500 Von Karman, Suite 400, Irvine, California 92612 USA",,,,,,aaronmarsh@mailinator.com,150,false,150,,"{""a1C6A000001xEPeUAM"":2,""a1C6A000001Bn7cUAC"":1,""a1C6A000001Bn7bUAC"":1,""a1C6A000001Bn7WUAS"":2,""a1C1I000000DSOdUAO"":1,""a1C1I000000DSOoUAO"":1,""a1C1I000000DSOiUAO"":1,""a1C1I000000DSOMUA4"":1,""a1C1I000000DSQUUA4"":1,""a1C1I000000DSQQUA4"":2,""a1C1I000000DSPeUAO"":1,""a1C1I000000DSPcUAO"":1,""a1C1I000000DSPZUA4"":1,""a1C1I000000DSPVUA4"":1,""a1C1I000000DSPSUA4"":1,""a1C1I000000DSPQUA4"":1,""a1C1I000000DSQ0UAO"":1,""a1C1I000000DSPxUAO"":1,""a1C1I000000DSPuUAO"":1,""a1C1I000000DSQZUA4"":2,""a1C1I000000DSOYUA4"":1,""a1C1I000000DSPRUA4"":1,""a1C1I000000DSPTUA4"":1,""a1C1I000000DSPWUA4"":1,""a1C1I000000DSPbUAO"":1,""a1C1I000000DSPdUAO"":1,""a1C1I000000DSPfUAO"":1,""a1C1I000000DSQWUA4"":2,""a1C1I000000DSQXUA4"":3,""a1C1I000000DSOZUA4"":1,""a1C1I000000DSOeUAO"":1,""a1C1I000000DSOjUAO"":1,""a1C1I000000DSOsUAO"":1,""a1C1I000000DSOaUAO"":1,""a1C6A000001x2Y3UAI"":3,""a1C6A000001Bn4tUAC"":2}",003R000001XNsFFIA1,false,false,false,,false,,false,,,,,,false,false,Household Informal Greeting,,,,,,,true,,,,,false,private,,001R000001lCyNeIAK
FON-Apple,Member,545 5th St,Bremerton,District of Columbia,98337,United States,47.56636,-122.628342,Address,40 Macs Harbor Ct,Stratford,Connecticut,6615,United States,,,,(907)-847-2390,,0014W000020EtpEQAS,www.apple.com/‎,,Electronics,,,,,"Apple Inc. is an American multinational technology company headquartered in Cupertino, California, that designs, develops, and sells consumer electronics, computer software, and online services. The company's hardware products include the iPhone smartphone, the iPad tablet computer, the Mac personal computer, the iPod portable media player, the Apple Watch smartwatch, the Apple TV digital media player, and the HomePod smart speaker. Apple's software includes the macOS and iOS operating systems, the iTunes media player, the Safari web browser, and the iLife and iWork creativity and productivity suites, as well as professional applications like Final Cut Pro, Logic Pro, and Xcode. Its online services include the iTunes Store, the iOS App Store and Mac App Store, Apple Music, and iCloud.",,,,,,jimneal@mailinator.com,100,false,250,900,"{""a1C3s000003oNfAEAU"":1,""a1C3s000003oNf7EAE"":1,""a1C3s000003oNf3EAE"":1,""a1C6A000001CkroUAC"":1,""a1C1I000000DSQUUA4"":2,""a1C1I000000DSOsUAO"":1,""a1C1I000000DSOoUAO"":1,""a1C1I000000DSOhUAO"":1,""a1C1I000000DSOfUAO"":1,""a1C1I000000DSOLUA4"":1,""a1C1I000000DSQIUA4"":1,""a1C1I000000DSQXUA4"":3,""a1C1I000000DSPaUAO"":1,""a1C1I000000DSPYUA4"":1,""a1C1I000000DSPVUA4"":1,""a1C1I000000DSPSUA4"":1,""a1C1I000000DSOYUA4"":1,""a1C1I000000DSQ0UAO"":1,""a1C1I000000DSPxUAO"":1,""a1C1I000000DSPuUAO"":1,""a1C1I000000DSQWUA4"":3,""a1C1I000000DSQSUA4"":1,""a1C1I000000DSPQUA4"":1,""a1C1I000000DSPTUA4"":1,""a1C1I000000DSPWUA4"":1,""a1C1I000000DSPZUA4"":1,""a1C1I000000DSPfUAO"":1,""a1C1I000000DSQRUA4"":1,""a1C1I000000DSOaUAO"":1,""a1C1I000000DSOeUAO"":1,""a1C1I000000DSOgUAO"":1,""a1C1I000000DSOnUAO"":1,""a1C1I000000DSOrUAO"":1,""a1C1I000000DSOZUA4"":1,""a1C1I000000DSObUAO"":1,""a1C6A000001Bn1IUAS"":2,""a1C6A000001Bn7ZUAS"":3,""a1C3s000003oNeyEAE"":1,""a1C3s000003oNf6EAE"":1,""a1C3s000003oNf9EAE"":1}",003R000001XNsFtIAL,false,false,false,,false,,false,,,,,,false,false,Household Informal Greeting,,,,,,,true,,,,,false,public,,001R000001lCyNfIAK
FON-General Motors,Member,45 Mccouns Ln,Oyster Bay,New York,11771,United States,40.868473,-73.523033,Address,1042 N Forest Rd,Williamsville,New York,14221,United States,,,,(656)-221-2322,,0014W000020EtpFQAS,,,Transportation,,,,,,,,,,,patrickbowman@mailinator.com,150,false,150,,"{""a1C1I000000DSOaUAO"":1,""a1C1I000000DSOZUA4"":1,""a1C1I000000DSPfUAO"":1,""a1C1I000000DSPdUAO"":1,""a1C1I000000DSPYUA4"":1,""a1C1I000000DSPVUA4"":1,""a1C1I000000DSOXUA4"":1,""a1C1I000000DSQZUA4"":1,""a1C1I000000DSOvUAO"":1,""a1C1I000000DSP4UAO"":1,""a1C1I000000DSP0UAO"":1,""a1C1I000000DSPuUAO"":1,""a1C1I000000DSOUUA4"":1,""a1C1I000000DSP2UAO"":1,""a1C1I000000DSOuUAO"":1,""a1C1I000000DSPxUAO"":1,""a1C1I000000DSQWUA4"":3,""a1C1I000000DSPTUA4"":1,""a1C1I000000DSPXUA4"":1,""a1C1I000000DSPZUA4"":1,""a1C1I000000DSPeUAO"":1,""a1C1I000000DSQ0UAO"":1,""a1C1I000000DSQXUA4"":2,""a1C1I000000DSOPUA4"":1}",003R000001XNsGfIAL,false,false,false,,false,,false,,,,,,false,false,Household Informal Greeting,,,,,,,true,,,,,false,private,,001R000001lCyNgIAK
FON-Phillips 66,Prospect,Chemin des Grottes 14,Fribourg,,,Switzerland,46.80990932701226,7.150944929077417,Block,Zahringerstrasse 13A,Bern,,,Switzerland,,,,+41 61 101 4608,,0014W000020EtpGQAS,,,Biotechnology,,,,,,,,,,,barbarafrancis@mailinator.com,250,false,250,,"{""a1C1I000000DSQJUA4"":1,""a1C1I000000DSQTUA4"":1,""a1C1I000000DSQSUA4"":1,""a1C1I000000DSQWUA4"":3,""a1C1I000000DSQXUA4"":6,""a1C1I000000DSQIUA4"":1,""a1C1I000000DSPvUAO"":1,""a1C1I000000DSPyUAO"":1,""a1C1I000000DSQUUA4"":3,""a1C1I000000DSQ1UAO"":1,""a1C1I000000DSOdUAO"":1,""a1C1I000000DSOZUA4"":2,""a1C1I000000DSOPUA4"":1,""a1C1I000000DSOQUA4"":1}",003R000001XNsGjIAL,false,false,false,,false,,false,,,,,,false,false,Household Informal Greeting,,,,,,,true,,,,,false,private,,001R000001lCyNhIAK
FON-General Electric,Member,7868 E Via Marina,Scottsdale,Arizona,85258,United States,33.55317,-111.911306,Address,1507 W Sunnyside Ave,Chicago,Illinois,60640,United States,,,,(259)-685-4782,,0014W000020EtpHQAS,,,Energy,,,,,,,,,,,miltonpena@mailinator.com,150,false,150,,"{""a1C1I000000DSOPUA4"":1,""a1C1I000000DSQXUA4"":1,""a1C1I000000DSQ1UAO"":1,""a1C1I000000DSQGUA4"":1,""a1C1I000000DSPyUAO"":1,""a1C1I000000DSPMUA4"":2,""a1C1I000000DSPKUA4"":2,""a1C1I000000DSPCUA4"":2,""a1C1I000000DSPAUA4"":1,""a1C1I000000DSPNUA4"":2,""a1C1I000000DSPIUA4"":3,""a1C1I000000DSPFUA4"":2,""a1C1I000000DSPDUA4"":2,""a1C1I000000DSOWUA4"":1,""a1C1I000000DSPvUAO"":1,""a1C1I000000DSPBUA4"":2,""a1C1I000000DSPEUA4"":2,""a1C1I000000DSPHUA4"":1,""a1C1I000000DSPJUA4"":3,""a1C1I000000DSOVUA4"":2,""a1C1I000000DSPLUA4"":2,""a1C1I000000DSPOUA4"":2,""a1C1I000000DSPPUA4"":1,""a1C1I000000DSQZUA4"":1,""a1C1I000000DSQUUA4"":3,""a1C1I000000DSQDUA4"":1,""a1C1I000000DSObUAO"":1}",003R000001XNsHGIA1,false,false,false,,false,,false,,,,,,false,false,Household Informal Greeting,,,,,,,true,,,,,false,private,,001R000001lCyNiIAK
FON-Ford Motor,Member,7744 Mystic Lake Dr,Lake,Michigan,48632,United States,43.85301,-85.004822,Block,28305 Sheeks Blvd,N Flat Rock,Michigan,48134,United States,,,,(728)-527-4263,,0014W000020EtpIQAS,,,,,,,,,,,,,,lilylindsey@mailinator.com,150,false,150,,"{""a1C1I000000DSOQUA4"":1,""a1C1I000000DSQEUA4"":1,""a1C1I000000DSPcUAO"":1,""a1C1I000000DSPXUA4"":1,""a1C1I000000DSPUUA4"":1,""a1C1I000000DSOXUA4"":1,""a1C1I000000DSQ1UAO"":1,""a1C1I000000DSQZUA4"":2,""a1C1I000000DSPLUA4"":1,""a1C1I000000DSPGUA4"":1,""a1C1I000000DSPCUA4"":1,""a1C1I000000DSOWUA4"":1,""a1C1I000000DSPNUA4"":1,""a1C1I000000DSPFUA4"":2,""a1C1I000000DSPAUA4"":2,""a1C1I000000DSPyUAO"":1,""a1C1I000000DSPvUAO"":1,""a1C1I000000DSQUUA4"":2,""a1C1I000000DSOVUA4"":1,""a1C1I000000DSPDUA4"":1,""a1C1I000000DSPJUA4"":1,""a1C1I000000DSPOUA4"":1,""a1C1I000000DSPHUA4"":1,""a1C1I000000DSPPUA4"":1,""a1C1I000000DSQXUA4"":6,""a1C1I000000DSPSUA4"":1,""a1C1I000000DSPWUA4"":1,""a1C1I000000DSPZUA4"":1,""a1C1I000000DSPfUAO"":1,""a1C1I000000DSOcUAO"":1}",003R000001XNsHcIAL,false,false,false,,false,,false,,,,,,false,false,Household Informal Greeting,,,,,,,true,,,,,false,private,,001R000001lCyNjIAK
FON-CVS Health,Technology Partner,10  WILLETT WAY,ORPINGTON,,BR5 1QD,United Kingdom,51.387032337762236,0.08509921453628694,ExtendedZip,32  ALLEN ROAD,BECKENHAM,,BR3 4NP,United Kingdom,,,,+44 7712 822418,,0014W000020EtpJQAS,,,Healthcare,,,,,,,,,,,coryshaw@mailinator.com,150,false,150,,"{""a1C1I000000DSOqUAO"":1,""a1C1I000000DSOnUAO"":1,""a1C1I000000DSOkUAO"":1,""a1C1I000000DSOeUAO"":1,""a1C1I000000DSOaUAO"":1,""a1C1I000000DSQWUA4"":2,""a1C1I000000DSQJUA4"":1,""a1C1I000000DSPfUAO"":1,""a1C1I000000DSPdUAO"":1,""a1C1I000000DSPWUA4"":1,""a1C1I000000DSPUUA4"":1,""a1C1I000000DSPRUA4"":1,""a1C1I000000DSQZUA4"":2,""a1C1I000000DSPyUAO"":1,""a1C1I000000DSOuUAO"":1,""a1C1I000000DSP6UAO"":1,""a1C1I000000DSP2UAO"":1,""a1C1I000000DSP0UAO"":1,""a1C1I000000DSOyUAO"":1,""a1C1I000000DSOwUAO"":1,""a1C1I000000DSPvUAO"":1,""a1C1I000000DSOTUA4"":1,""a1C1I000000DSOxUAO"":1,""a1C1I000000DSOzUAO"":1,""a1C1I000000DSP1UAO"":1,""a1C1I000000DSP4UAO"":1,""a1C1I000000DSP8UAO"":1,""a1C1I000000DSOvUAO"":1,""a1C1I000000DSQDUA4"":1,""a1C1I000000DSOXUA4"":1,""a1C1I000000DSPSUA4"":1,""a1C1I000000DSPVUA4"":1,""a1C1I000000DSPZUA4"":1,""a1C1I000000DSPeUAO"":1,""a1C1I000000DSQXUA4"":3,""a1C1I000000DSQ1UAO"":1,""a1C1I000000DSOdUAO"":1,""a1C1I000000DSOLUA4"":1,""a1C1I000000DSOgUAO"":1,""a1C1I000000DSOmUAO"":1,""a1C1I000000DSOpUAO"":1}",003R000001XNsHhIAL,false,false,false,,false,,false,,,,,,false,false,Household Informal Greeting,,,,,,,true,,,,,false,private,,001R000001lCyNkIAK
FON-McKesson,Technology Partner,9 KINGSMERE  CHISLEHURST ROAD,CHISLEHURST,,BR7 5LE,United Kingdom,51.40807875255534,0.04773502763725483,ExtendedZip,268 FLAT C GLOUCESTER COURT CROYDON ROAD,BECKENHAM,,BR3 4DA,United Kingdom,,,,+44 8749 988000,,0014W000020EtpKQAS,,,Biotechnology,,,,,,,,,,,alicelloyd@mailinator.com,150,false,150,,"{""a1C1I000000DSOaUAO"":1,""a1C1I000000DSOcUAO"":1,""a1C1I000000DSOZUA4"":1,""a1C1I000000DSPeUAO"":1,""a1C1I000000DSPcUAO"":1,""a1C1I000000DSPZUA4"":1,""a1C1I000000DSPQUA4"":1,""a1C1I000000DSPPUA4"":1,""a1C1I000000DSPMUA4"":1,""a1C1I000000DSPKUA4"":1,""a1C1I000000DSPEUA4"":1,""a1C1I000000DSPBUA4"":1,""a1C1I000000DSPyUAO"":1,""a1C1I000000DSPvUAO"":1,""a1C1I000000DSQOUA4"":3,""a1C1I000000DSOWUA4"":1,""a1C1I000000DSPCUA4"":1,""a1C1I000000DSPHUA4"":1,""a1C1I000000DSPLUA4"":1,""a1C1I000000DSPOUA4"":1,""a1C1I000000DSOYUA4"":1,""a1C1I000000DSPTUA4"":1,""a1C1I000000DSPaUAO"":1,""a1C1I000000DSPdUAO"":1,""a1C1I000000DSQ1UAO"":1,""a1C1I000000DSQXUA4"":3,""a1C1I000000DSQGUA4"":1}",003R000001XNsHwIAL,false,false,false,,false,,false,,,,,,false,false,Household Informal Greeting,,,,,,,true,,,,,false,private,,001R000001lCyNlIAK
FON-AT&T,Member,240 Ashby Rd,Upper Darby,Pennsylvania,19082,United States,39.956162,-75.263438,Block,1401 W Green St,Urbana,Illinois,61801,United States,,,,(595)-733-6216,,0014W000020EtpLQAS,http://about.att.com/sites/company_profile,,Electronics,,,,,"AT&T, Inc. is a holding company, which engages in the provision of telecommunications and digital entertainment services. It operates through the following business segments: Business Solutions, Entertainment Group, Consumer Mobility, and International.",,,,,,harveyjordan@mailinator.com,150,false,250,4,"{""a1C1I000000DSQQUA4"":1,""a1C1I000000DSOPUA4"":1,""a1C1I000000DSQFUA4"":1,""a1C1I000000DSQNUA4"":1,""a1C1I000000DSQ1UAO"":1,""a1C1I000000DSQWUA4"":2,""a1C1I000000DSP8UAO"":1,""a1C1I000000DSP0UAO"":1,""a1C1I000000DSOyUAO"":1,""a1C1I000000DSOwUAO"":1,""a1C1I000000DSPvUAO"":1,""a1C1I000000DSOTUA4"":1,""a1C1I000000DSOxUAO"":1,""a1C1I000000DSOzUAO"":1,""a1C1I000000DSP1UAO"":1,""a1C1I000000DSOuUAO"":1,""a1C1I000000DSPyUAO"":1,""a1C1I000000DSQKUA4"":1,""a1C1I000000DSQZUA4"":1,""a1C1I000000DSOOUA4"":1,""a1C1I000000DSOZUA4"":2,""a1C6A000001Bn7OUAS"":4}",003R000001XNsD0IAL,false,false,false,,false,,false,,,,,,false,false,Household Informal Greeting,,,,,,,true,,,,,false,public,,001R000001lCyNmIAK
