Id,Name,External_Id__c,OrderApi__Subscription__c,OrderApi__Grace_Period_End_Date__c,OrderApi__Is_Active__c,OrderApi__Renewed_Date__c,OrderApi__Sales_Order_Line__c,OrderApi__Sales_Order__c,OrderApi__Subscription_Plan__c,OrderApi__Term_End_Date__c,OrderApi__Term_Start_Date__c,OrderApi__Account__c,OrderApi__Active_Assignments__c,OrderApi__Assignments_Allowed__c,OrderApi__Cancellation_Requested__c,OrderApi__Contact__c,OrderApi__Days_To_Lapse__c,OrderApi__Dues_Total__c,OrderApi__Entity__c,OrderApi__Is_Changed__c,OrderApi__Item__c,OrderApi__Last_Amendment_Date__c,OrderApi__Next_Invoice_Due_Date__c,OrderApi__Next_Scheduled_Payment_Date__c,OrderApi__Next_Term_Renewed_Date__c,OrderApi__Previous_Term__c,OrderApi__Renewal_Sales_Order__c,Contact_Email__c,OrderApi__Subscription__r.External_Id__c,OrderApi__Sales_Order_Line__r.External_Id__c,OrderApi__Sales_Order__r.External_Id__c,OrderApi__Subscription_Plan__r.Id,OrderApi__Account__r.External_Id__c,OrderApi__Contact__r.External_Id__c,OrderApi__Item__r.External_Id__c,OrderApi__Previous_Term__r.External_Id__c,OrderApi__Renewal_Sales_Order__r.External_Id__c
a1H4W00000BB55fUAD,000000368,74,a1S4W000004D1SbUAK,,false,2018-07-13,,,a1R4W000004PyfSUAS,,2019-01-01,0014W000025FRm5QAG,0,0,false,0034W00002DpogUQAR,,75,Contact,false,a154W00000926RDQAY,,2020-05-20,,,,,,121,,,a1R4W000004PyfSUAS,15,253,609,,
a1H4W00000BB55gUAD,000000369,75,a1S4W000004D1SZUA0,,false,2018-07-13,,,a1R4W000004PyfSUAS,,2019-01-01,0014W000025FRlLQAW,0,0,false,0034W00002Dpog2QAB,,75,Contact,false,a154W00000926RDQAY,,2020-05-20,,,,,,119,,,a1R4W000004PyfSUAS,9,214,609,,
a1H4W00000BB55hUAD,000000370,76,a1S4W000004D1SPUA0,,false,2018-07-13,,,a1R4W000004PyfSUAS,,2019-01-01,0014W000025FRl7QAG,0,0,false,0034W00002DpoddQAB,,75,Contact,false,a154W00000926RDQAY,,2020-05-20,,,,,,60,,,a1R4W000004PyfSUAS,4,136,609,,
a1H4W00000BB55iUAD,000000371,77,a1S4W000004D1TcUAK,2019-08-11,false,2018-07-13,,,a1R4W000004PyfOUAS,2019-07-12,2018-07-13,0014W000025FRkKQAW,0,0,false,0034W00002DpodbQAB,-70,900,Contact,false,a154W00000926R6QAI,,2020-05-20,,2019-09-20,,a1J4W00000CgFotUAF,,99,,,a1R4W000004PyfOUAS,5,272,651,,240
a1H4W00000BB53yUAD,000000376,78,a1S4W000004D1TdUAK,,false,2018-08-01,a1I4W00000HFa8TUAT,a1J4W00000CgG3nUAF,a1R4W000004PyfNUAS,,2018-08-01,0014W000025FRl8QAG,0,0,false,0034W00002DpodfQAB,,0,Contact,false,a154W00000926QvQAI,,,,,,,,100,2111,1073,a1R4W000004PyfNUAS,20,98,648,,
a1H4W00000BB53zUAD,000000377,79,a1S4W000004D1TdUAK,,false,2018-08-01,a1I4W00000HFaADUA1,a1J4W00000CgG3oUAF,a1R4W000004PyfNUAS,,,0014W000025FRl8QAG,3,30,false,0034W00002DpodfQAB,,7740,Contact,false,a154W00000926QvQAI,,,,,,,,100,2113,1074,a1R4W000004PyfNUAS,20,98,648,,
a1H4W00000BB55jUAD,000000378,80,a1S4W000004D1TeUAK,,false,2018-08-09,a1I4W00000HFa8ZUAT,a1J4W00000CgG3qUAF,a1R4W000004PyfNUAS,,2018-08-09,0014W000025FRl8QAG,0,42,false,0034W00002DpodfQAB,,15000,Contact,false,a154W00000926RkQAI,,,,,,,,101,2118,1076,a1R4W000004PyfNUAS,20,98,649,,
a1H4W00000BB541UAD,000000379,81,a1S4W000004D1TfUAK,2019-09-12,false,2018-08-14,a1I4W00000HFa8aUAD,a1J4W00000CgG3vUAF,a1R4W000004PyfOUAS,2019-08-13,2018-08-14,0014W000025FRkuQAG,0,0,false,0034W00002DpodTQAR,-415,450,Contact,false,a154W00000926QuQAI,,,,,,,,102,1568,947,a1R4W000004PyfOUAS,46,276,650,,
a1H4W00000BB542UAD,000000380,82,a1S4W000004D1TgUAK,2019-09-12,false,2018-08-14,a1I4W00000HFa8cUAD,a1J4W00000CgG3yUAF,a1R4W000004PyfOUAS,2019-08-13,2018-08-14,0014W000025FRmIQAW,0,0,false,0034W00002DpofTQAR,-415,450,Account,false,a154W00000926QuQAI,,,,,,,,103,1570,950,a1R4W000004PyfOUAS,25,175,650,,
a1H4W00000BB55kUAD,000000381,83,a1S4W000004D1ThUAK,2019-09-12,false,2018-08-14,a1I4W00000HFa8eUAD,a1J4W00000CgG42UAF,a1R4W000004PyfOUAS,2019-08-13,2018-08-14,0014W000025FRmIQAW,0,0,false,0034W00002DpofTQAR,-415,450,Account,false,a154W00000926QuQAI,,,,,,,,104,1572,954,a1R4W000004PyfOUAS,25,175,650,,
a1H4W00000BB55lUAD,000000382,84,a1S4W000004D1TiUAK,2019-09-20,false,2018-08-22,a1I4W00000HFa8jUAD,a1J4W00000CgG4BUAV,a1R4W000004PyfOUAS,2019-08-21,2018-08-22,0014W000025FRkKQAW,0,0,false,0034W00002Dpof0QAB,-407,900,Contact,false,a154W00000926R6QAI,,,,,,,,105,1576,961,a1R4W000004PyfOUAS,5,75,651,,
a1H4W00000BB543UAD,000000383,85,a1S4W000004D1TjUAK,2019-09-20,false,2018-08-22,a1I4W00000HFa8jUAD,a1J4W00000CgG4BUAV,a1R4W000004PyfOUAS,2019-08-21,2018-08-22,0014W000025FRkKQAW,0,0,false,0034W00002Dpof0QAB,-407,900,Contact,false,a154W00000926R6QAI,,,,,,,,106,1576,961,a1R4W000004PyfOUAS,5,75,651,,
a1H4W00000BB55mUAD,000000384,86,a1S4W000004D1TkUAK,,false,2018-09-30,a1I4W00000HFa8mUAD,a1J4W00000CgG4KUAV,a1R4W000004PyfNUAS,,2018-09-30,0014W000025FRkzQAG,0,42,false,0034W00002DpogpQAB,,15000,Account,false,a154W00000926RkQAI,,,,,,,,107,1708,970,a1R4W000004PyfNUAS,51,283,649,,
a1H4W00000BB544UAD,000000385,87,a1S4W000004D1TlUAK,,false,2018-10-01,a1I4W00000HFa8oUAD,a1J4W00000CgG4MUAV,a1R4W000004PyfTUAS,2019-09-30,2018-10-01,0014W000025FRkKQAW,0,0,false,0034W00002DpogaQAB,-367,12.51,Contact,false,a154W00000926SdQAI,,2018-11-01,,,,,,108,1710,972,a1R4W000004PyfTUAS,5,259,652,,
a1H4W00000BB545UAD,000000386,88,a1S4W000004D1TmUAK,,false,2018-10-01,a1I4W00000HFa8pUAD,a1J4W00000CgG4NUAV,a1R4W000004PyfTUAS,2019-09-30,2018-10-01,0014W000025FRm3QAG,0,0,false,0034W00002DpogMQAR,-367,12.51,Contact,false,a154W00000926SdQAI,,2018-10-01,,,,,,109,1711,973,a1R4W000004PyfTUAS,13,245,652,,
a1H4W00000BB53mUAD,000000404,89,a1S4W000004D1TvUAK,,false,2019-03-13,a1I4W00000HFZqNUAX,a1J4W00000CgG6SUAV,a1R4W000004PyfNUAS,2019-06-30,2019-03-13,0014W000025FRlEQAW,0,0,false,0034W00002DpodmQAB,-459,1420,Contact,false,a154W00000926QzQAI,,,,,,,,159,228,213,a1R4W000004PyfNUAS,77,311,96,,
a1H4W00000BB53nUAD,000000407,90,a1S4W000004D1S2UAK,2020-05-21,false,2019-04-22,a1I4W00000HFZqwUAH,a1J4W00000CgG6zUAF,a1R4W000004PyfOUAS,2020-04-21,2019-04-22,0014W000025FRkKQAW,0,0,false,0034W00002DpocXQAR,-163,1200,Contact,false,a154W00000926R6QAI,,,,,,,,160,468,524,a1R4W000004PyfOUAS,5,227,651,,
a1H4W00000BB53oUAD,000000409,91,a1S4W000004D1S3UAK,,false,2019-04-25,,,a1R4W000004PyfNUAS,2019-12-31,2019-04-25,0014W000025FRkKQAW,0,0,false,0034W00002DpocXQAR,-275,180,Contact,false,a154W00000926R1QAI,,2020-05-20,,,,,,161,,,a1R4W000004PyfNUAS,5,227,701,,
a1H4W00000BB53pUAD,000000410,92,a1S4W000004D1S4UAK,2020-06-01,false,2019-05-03,a1I4W00000HFZrBUAX,a1J4W00000CgG79UAF,a1R4W000004PyfOUAS,2020-05-02,2019-05-03,0014W000025FRkNQAW,0,0,false,0034W00002DpodvQAB,-152,1560,Contact,false,a154W00000926R6QAI,,,,,,,,162,590,534,a1R4W000004PyfOUAS,21,225,651,,
a1H4W00000BB53qUAD,000000411,93,a1S4W000004D1S5UAK,,false,2019-05-03,a1I4W00000HFZrDUAX,a1J4W00000CgG7EUAV,a1R4W000004PyfNUAS,2019-12-31,2019-05-03,0014W000025FRkKQAW,27,40,false,0034W00002DpocXQAR,-1,6666.68,Contact,false,a154W00000926QvQAI,,,,2019-11-05,,a1J4W00000CgFp7UAF,,163,592,1147,a1R4W000004PyfNUAS,5,227,648,,312
a1H4W00000BB53rUAD,000000412,94,a1S4W000004D1S6UAK,,false,2019-05-03,a1I4W00000HFZrFUAX,a1J4W00000CgG7EUAV,a1R4W000004PyfNUAS,2019-12-31,2019-05-03,0014W000025FRkKQAW,13,40,false,0034W00002DpocXQAR,-275,6666.68,Contact,false,a154W00000926QvQAI,,,,,,,,164,717,1147,a1R4W000004PyfNUAS,5,227,648,,
a1H4W00000BB53sUAD,000000415,95,a1S4W000004D1S7UAK,2020-06-18,false,2019-05-20,a1I4W00000HFZrQUAX,a1J4W00000CgG7TUAV,a1R4W000004PyfOUAS,2020-05-19,2019-05-20,0014W000025FRkNQAW,0,0,false,0034W00002DpodwQAB,-135,180,Contact,false,a154W00000926RDQAY,,2019-05-20,,,,,,165,728,576,a1R4W000004PyfOUAS,21,230,609,,
a1H4W00000BB55nUAD,000000389,96,a1S4W000004D1ToUAK,,false,2019-01-09,a1I4W00000HFa9eUAD,a1J4W00000CgG5JUAV,a1R4W000004PyfNUAS,,2019-01-09,0014W000025FRl9QAG,0,0,false,0034W00002DpodgQAB,,3210,Contact,false,a154W00000926QzQAI,,,,,,,,111,863,582,a1R4W000004PyfNUAS,64,287,96,,
a1H4W00000BB55oUAD,000000390,97,a1S4W000004D1TpUAK,,false,2019-01-10,a1I4W00000HFa9gUAD,a1J4W00000CgG5KUAV,a1R4W000004PyfNUAS,,2019-01-09,0014W000025FRmAQAW,0,0,false,0034W00002DpodiQAB,,3210,Contact,false,a154W00000926QzQAI,,,,,,,,112,866,583,a1R4W000004PyfNUAS,66,289,96,,
a1H4W00000BB540UAD,000000391,98,a1S4W000004D1TqUAK,,false,2019-01-10,a1I4W00000HFa9iUAD,a1J4W00000CgG5KUAV,a1R4W000004PyfNUAS,,2019-01-10,0014W000025FRmAQAW,6,42,false,0034W00002DpodiQAB,,15000,Contact,false,a154W00000926RkQAI,,,,,,,,113,869,583,a1R4W000004PyfNUAS,66,289,649,,
a1H4W00000BB546UAD,000000392,99,a1S4W000004D1TrUAK,,false,2019-01-16,a1I4W00000HFa9sUAD,a1J4W00000CgG5RUAV,a1R4W000004PyfNUAS,2019-06-30,2019-01-16,0014W000025FRlCQAW,0,0,false,0034W00002DpodjQAB,-459,1605,Contact,false,a154W00000926QzQAI,,2019-01-16,,,,,,114,1003,1161,a1R4W000004PyfNUAS,68,293,96,,
a1H4W00000BB547UAD,000000393,100,a1S4W000004D1TsUAK,,false,2019-01-22,a1I4W00000HFaA4UAL,a1J4W00000CgG5XUAV,a1R4W000004PyfNUAS,2019-06-30,2019-01-22,0014W000025FRmIQAW,0,0,false,0034W00002DpohLQAR,-459,1575,Contact,false,a154W00000926QzQAI,,2019-01-22,,,,,,151,1140,1167,a1R4W000004PyfNUAS,25,222,96,,
a1H4W00000BB55pUAD,000000395,101,a1S4W000004D1TtUAK,,false,2019-01-28,a1I4W00000HFaA9UAL,a1J4W00000CgG5aUAF,a1R4W000004PyfNUAS,2019-06-30,2019-01-28,0014W000025FRkNQAW,0,42,false,0034W00002Dpoh6QAB,-459,7500,Contact,false,a154W00000926RkQAI,,,,,,,,152,1145,1170,a1R4W000004PyfNUAS,21,297,649,,
a1H4W00000BB53lUAD,000000399,102,a1S4W000004D1TuUAK,2020-03-18,false,2019-02-18,a1I4W00000HFZrrUAH,a1J4W00000CgG61UAF,a1R4W000004PyfOUAS,2020-02-17,2019-02-18,0014W000025FRmIQAW,0,0,false,0034W00002DpohLQAR,-227,1200,Contact,false,a154W00000926R6QAI,,,,,,,,153,1423,1183,a1R4W000004PyfOUAS,25,222,651,,
a1H4W00000BB55qUAD,000000388,103,a1S4W000004D1TnUAK,2019-12-20,false,2018-11-21,a1I4W00000HFa9MUAT,a1J4W00000CgG52UAF,a1R4W000004PyfOUAS,2019-11-20,2018-11-21,0014W000025FRlMQAW,0,0,false,0034W00002DpodyQAB,-316,135,Contact,false,a154W00000926RDQAY,,,,,,,,110,1992,1052,a1R4W000004PyfOUAS,59,198,609,,
a1H4W00000BB53tUAD,000000416,104,a1S4W000004D1S8UAK,2020-07-10,false,2019-06-11,a1I4W00000HFZprUAH,a1J4W00000CgG7dUAF,a1R4W000004PyfOUAS,2020-06-10,2019-06-11,0014W000025FRkNQAW,0,0,false,0034W00002DpohRQAR,-113,180,Contact,false,a154W00000926RDQAY,,,,,,,,154,374,32,a1R4W000004PyfOUAS,21,232,609,,
a1H4W00000BB53uUAD,000000417,105,a1S4W000004D1S9UAK,2020-07-20,false,2019-06-21,a1I4W00000HFZpvUAH,a1J4W00000CgG7jUAF,a1R4W000004PyfOUAS,2020-06-20,2019-06-21,0014W000025FRl7QAG,0,0,false,0034W00002DpofmQAB,-103,600,Contact,false,a154W00000926QuQAI,,,,,,,,155,378,38,a1R4W000004PyfOUAS,4,139,650,,
a1H4W00000BB53vUAD,000000418,106,a1S4W000004D1SAUA0,2020-07-20,false,2019-06-21,a1I4W00000HFZpwUAH,a1J4W00000CgG7kUAF,a1R4W000004PyfOUAS,2020-06-20,2019-06-21,0014W000025FRl7QAG,0,0,false,0034W00002DpofmQAB,-103,180,Contact,false,a154W00000926RDQAY,,,,,,,,156,379,39,a1R4W000004PyfOUAS,4,139,609,,
a1H4W00000BB53wUAD,000000419,107,a1S4W000004D1SBUA0,2020-07-20,false,2019-06-21,a1I4W00000HFZpxUAH,a1J4W00000CgG7lUAF,a1R4W000004PyfOUAS,2020-06-20,2019-06-21,0014W000025FRl7QAG,0,0,false,0034W00002DpofmQAB,-103,180,Contact,false,a154W00000926RDQAY,,,,,,,,157,380,40,a1R4W000004PyfOUAS,4,139,609,,
a1H4W00000BB53xUAD,000000420,108,a1S4W000004D1SCUA0,2020-07-20,false,2019-06-21,a1I4W00000HFZpzUAH,a1J4W00000CgG7mUAF,a1R4W000004PyfOUAS,2020-06-20,2019-06-21,0014W000025FRl7QAG,0,0,false,0034W00002DpofmQAB,-103,180,Contact,false,a154W00000926RDQAY,,,,,,,,158,490,41,a1R4W000004PyfOUAS,4,139,609,,
a1H4W00000BB52vUAD,000000429,109,a1S4W000004D1S5UAK,,true,2019-11-05,a1I4W00000HFZkZUAX,a1J4W00000CgFp7UAF,a1R4W000004PyfNUAS,2020-12-31,2020-01-01,0014W000025FRkKQAW,9,10,false,0034W00002DpocXQAR,91,0,Contact,false,a154W00000926QvQAI,,,,,a1H4W00000BB53qUAD,,,163,1165,312,a1R4W000004PyfNUAS,5,227,648,93,
a1H4W00000BB52wUAD,000000431,110,a1S4W000004D1RNUA0,2020-07-30,false,2019-11-05,a1I4W00000HFZkaUAH,a1J4W00000CgFp9UAF,a1R4W000004PyfOUAS,2020-06-30,2019-07-01,0014W000025FRkQQAW,0,0,false,0034W00002DpocbQAB,-93,1200,Contact,false,a154W00000926R6QAI,,,,,,,,2,1166,362,a1R4W000004PyfOUAS,92,6,651,,
a1H4W00000BB52xUAD,000000432,111,a1S4W000004D1SDUA0,2019-07-30,false,2019-11-05,a1I4W00000HFZkbUAH,a1J4W00000CgFpBUAV,a1R4W000004PyfOUAS,2019-06-30,2018-07-01,0014W000025FRlSQAW,0,0,false,0034W00002Dpoe8QAB,-459,1200,Contact,false,a154W00000926R6QAI,,,,,,,,3,1295,364,a1R4W000004PyfOUAS,94,7,651,,
a1H4W00000BB52yUAD,000000433,112,a1S4W000004D1SEUA0,2019-07-30,false,2019-11-05,a1I4W00000HFZkcUAH,a1J4W00000CgFpCUAV,a1R4W000004PyfOUAS,2019-06-30,2018-07-01,0014W000025FRkRQAW,0,0,false,0034W00002DpoccQAB,-128,1200,Contact,false,a154W00000926R6QAI,,,,2019-11-05,,a1J4W00000CgFpDUAV,,4,1296,365,a1R4W000004PyfOUAS,96,8,651,,366
a1H4W00000BB52zUAD,000000434,113,a1S4W000004D1SEUA0,2020-12-04,true,2019-11-05,a1I4W00000HFZkdUAH,a1J4W00000CgFpDUAV,a1R4W000004PyfOUAS,2020-11-04,2019-11-05,0014W000025FRkRQAW,0,0,false,0034W00002DpoccQAB,34,0,Contact,false,a154W00000926R6QAI,,,,,a1H4W00000BB52yUAD,a1J4W00000CgFpFUAV,,4,1297,366,a1R4W000004PyfOUAS,96,8,651,112,368
a1H4W00000BB530UAD,000000435,114,a1S4W000004D1ROUA0,2020-12-10,false,2019-11-11,a1I4W00000HFZkgUAH,a1J4W00000CgFpFUAV,a1R4W000004PyfOUAS,2020-11-10,2019-11-11,0014W000025FRkRQAW,0,0,false,0034W00002DpoccQAB,40,1200,Contact,false,a154W00000926R6QAI,,,,,,,,5,1300,368,a1R4W000004PyfOUAS,96,8,651,,
a1H4W00000BB531UAD,000000436,115,a1S4W000004D1TcUAK,2021-10-19,true,2019-11-11,a1I4W00000HFZkhUAH,a1J4W00000CgFpGUAV,a1R4W000004PyfOUAS,2021-09-19,2020-09-20,0014W000025FRkKQAW,0,0,false,0034W00002DpodbQAB,353,0,Contact,false,a154W00000926R6QAI,,,,2019-11-12,a1H4W00000BB52uUAD,a1J4W00000CgFpIUAV,,99,1301,369,a1R4W000004PyfOUAS,5,272,651,159,371
a1H4W00000BB532UAD,000000437,116,a1S4W000004D1SEUA0,2021-12-04,false,2019-11-11,a1I4W00000HFZkgUAH,a1J4W00000CgFpFUAV,a1R4W000004PyfOUAS,2021-11-04,2020-11-05,0014W000025FRkRQAW,0,0,false,0034W00002DpoccQAB,399,300,Contact,false,a154W00000926R6QAI,,,,2019-11-11,a1H4W00000BB52zUAD,a1J4W00000CgFpHUAV,,4,1300,368,a1R4W000004PyfOUAS,96,8,651,113,370
a1H4W00000BB533UAD,000000438,117,a1S4W000004D1SEUA0,2022-12-04,false,2019-11-11,a1I4W00000HFZkiUAH,a1J4W00000CgFpHUAV,a1R4W000004PyfOUAS,2022-11-04,2021-11-05,0014W000025FRkRQAW,0,0,false,0034W00002DpoccQAB,764,0,Contact,false,a154W00000926R6QAI,,,,,a1H4W00000BB532UAD,,,4,1302,370,a1R4W000004PyfOUAS,96,8,651,116,
a1H4W00000BB534UAD,000000439,118,a1S4W000004D1TcUAK,2022-10-19,false,2019-11-12,a1I4W00000HFZkkUAH,a1J4W00000CgFpIUAV,a1R4W000004PyfOUAS,2022-09-19,2021-09-20,0014W000025FRkKQAW,0,0,false,0034W00002DpodbQAB,718,0,Contact,false,a154W00000926R6QAI,,,,,a1H4W00000BB531UAD,,,99,1304,371,a1R4W000004PyfOUAS,5,272,651,115,
a1H4W00000BB535UAD,000000440,119,a1S4W000004D1RPUA0,2020-12-14,true,2019-11-15,a1I4W00000HFZkoUAH,a1J4W00000CgFpLUAV,a1R4W000004PyfOUAS,2020-11-14,2019-11-15,0014W000025FRl7QAG,0,0,false,0034W00002DpofmQAB,44,1200,Contact,false,a154W00000926R6QAI,,,,,,,,6,1435,410,a1R4W000004PyfOUAS,4,139,651,,
a1H4W00000BB536UAD,000000441,120,a1S4W000004D1RQUA0,2020-12-14,true,2019-11-15,a1I4W00000HFZktUAH,a1J4W00000CgFpOUAV,a1R4W000004PyfOUAS,2020-11-14,2019-11-15,0014W000025FRlVQAW,0,0,false,0034W00002DpoeBQAR,44,1200,Contact,false,a154W00000926R6QAI,,,,,,,,7,1440,413,a1R4W000004PyfOUAS,99,12,651,,
a1H4W00000BB537UAD,000000442,121,a1S4W000004D1SFUA0,2019-10-14,false,2019-11-15,a1I4W00000HFZkuUAH,a1J4W00000CgFpPUAV,a1R4W000004PyfOUAS,2019-09-14,2018-09-15,0014W000025FRlVQAW,0,0,false,0034W00002DpoeBQAR,-62,1200,Contact,false,a154W00000926R6QAI,,,,2019-11-15,,a1J4W00000CgFpQUAV,,8,1441,414,a1R4W000004PyfOUAS,99,12,651,,415
a1H4W00000BB538UAD,000000443,122,a1S4W000004D1SFUA0,2020-12-14,true,2019-11-15,a1I4W00000HFZkvUAH,a1J4W00000CgFpQUAV,a1R4W000004PyfOUAS,2020-11-14,2019-11-15,0014W000025FRlVQAW,0,0,false,0034W00002DpoeBQAR,44,0,Contact,false,a154W00000926R6QAI,,,,,a1H4W00000BB537UAD,,,8,1442,415,a1R4W000004PyfOUAS,99,12,651,121,
a1H4W00000BB539UAD,000000444,123,a1S4W000004D1RRUA0,2019-11-23,false,2019-11-15,a1I4W00000HFZkwUAH,a1J4W00000CgFpRUAV,a1R4W000004PyfOUAS,2019-10-24,2018-10-25,0014W000025FRlVQAW,0,0,false,0034W00002DpoeBQAR,-30,1200,Contact,false,a154W00000926R6QAI,,,,2019-11-15,,a1J4W00000CgFpSUAV,,9,1443,416,a1R4W000004PyfOUAS,99,12,651,,417
a1H4W00000BB53AUAT,000000445,124,a1S4W000004D1RRUA0,2020-11-23,true,2019-11-15,a1I4W00000HFZkxUAH,a1J4W00000CgFpSUAV,a1R4W000004PyfOUAS,2020-10-24,2019-10-25,0014W000025FRlVQAW,0,0,false,0034W00002DpoeBQAR,23,0,Contact,false,a154W00000926R6QAI,,,,,a1H4W00000BB539UAD,,,9,1444,417,a1R4W000004PyfOUAS,99,12,651,123,
a1H4W00000BB53BUAT,000000446,125,a1S4W000004D1RSUA0,2020-12-14,true,2019-11-15,a1I4W00000HFZl2UAH,a1J4W00000CgFpWUAV,a1R4W000004PyfOUAS,2020-11-14,2019-11-15,0014W000025FRlVQAW,0,0,false,0034W00002DpoeBQAR,44,1200,Contact,false,a154W00000926R6QAI,,,,,,,,10,1578,420,a1R4W000004PyfOUAS,99,12,651,,
a1H4W00000BB53CUAT,000000447,126,a1S4W000004D1RUUA0,2020-12-21,true,2019-11-22,a1I4W00000HFZl7UAH,a1J4W00000CgFq7UAF,a1R4W000004PyfOUAS,2020-11-21,2019-11-22,0014W000025FRlVQAW,0,0,false,0034W00002DpoeBQAR,51,1200,Contact,false,a154W00000926R6QAI,,,,,,,,16,1583,541,a1R4W000004PyfOUAS,99,12,651,,
a1H4W00000BB53DUAT,000000448,127,a1S4W000004D1RTUA0,2020-12-21,true,2019-11-22,a1I4W00000HFZl8UAH,a1J4W00000CgFq8UAF,a1R4W000004PyfOUAS,2020-11-21,2019-11-22,0014W000025FRlVQAW,0,0,false,0034W00002DpoeBQAR,51,1200,Contact,false,a154W00000926R6QAI,,2019-11-22,,,,,,17,1584,542,a1R4W000004PyfOUAS,99,12,651,,
a1H4W00000BB53EUAT,000000449,128,a1S4W000004D1RVUA0,2020-12-26,true,2019-11-27,a1I4W00000HFZl9UAH,a1J4W00000CgFqAUAV,a1R4W000004PyfOUAS,2020-11-26,2019-11-27,0014W000025FRkKQAW,8,0,false,0034W00002DpodbQAB,56,14000,Account,false,a154W00000926RGQAY,,,,,,,,18,1585,544,a1R4W000004PyfOUAS,5,272,43,,
a1H4W00000BB53FUAT,000000451,129,a1S4W000004D1RWUA0,,true,2020-02-06,a1I4W00000HFZldUAH,a1J4W00000CgFquUAF,a1R4W000004PyfNUAS,2020-12-31,2020-02-06,0014W000025FRkKQAW,1,40,false,0034W00002DpoceQAB,91,9166.68,Contact,false,a154W00000926QvQAI,,,,,,,,19,2001,1111,a1R4W000004PyfNUAS,5,10,648,,
a1H4W00000BB53GUAT,000000452,130,a1S4W000004D1RXUA0,,true,2020-02-10,a1I4W00000HFZleUAH,a1J4W00000CgFqmUAF,a1R4W000004PyfNUAS,2020-12-31,2020-02-10,0014W000025FRkKQAW,4,40,false,0034W00002DpoceQAB,91,9166.68,Contact,false,a154W00000926QvQAI,,,,,,,,20,2002,1022,a1R4W000004PyfNUAS,5,10,648,,
a1H4W00000BB53HUAT,000000453,131,a1S4W000004D1RYUA0,2021-03-22,true,2020-02-21,a1I4W00000HFZlnUAH,a1J4W00000CgFrMUAV,a1R4W000004PyfOUAS,2021-02-20,2020-02-21,0014W000025FRkSQAW,0,0,false,0034W00002DpocfQAB,142,180,Contact,false,a154W00000926RDQAY,,,,,,,,21,2011,24,a1R4W000004PyfOUAS,107,41,609,,
a1H4W00000BB53IUAT,000000455,132,a1S4W000004D1RZUA0,,true,2020-03-06,a1I4W00000HFZltUAH,a1J4W00000CgFrlUAF,a1R4W000004PyfNUAS,2020-12-31,2020-03-06,0014W000025FRkLQAW,9,40,false,0034W00002DpocUQAR,91,8333.32,Account,false,a154W00000926QvQAI,,,,,,,,22,4,247,a1R4W000004PyfNUAS,6,219,648,,
a1H4W00000BB53JUAT,000000456,133,a1S4W000004D1RbUAK,2022-04-28,true,2020-03-30,a1I4W00000HFZmJUAX,a1J4W00000CgFsIUAV,a1R4W000004PyfPUAS,2022-03-29,2020-03-30,0014W000025FRkKQAW,0,0,false,0034W00002DpoceQAB,544,3850,Contact,false,a154W00000926QzQAI,,,,,,,,23,243,384,a1R4W000004PyfPUAS,5,10,96,,
a1H4W00000BB53KUAT,000000457,134,a1S4W000004D1RaUAK,2022-04-28,true,2020-03-30,a1I4W00000HFZmLUAX,a1J4W00000CgFsJUAV,a1R4W000004PyfPUAS,2022-03-29,2020-03-30,0014W000025FRkKQAW,0,0,false,0034W00002DpoceQAB,544,3900,Contact,false,a154W00000926QzQAI,,,,,,,,24,245,385,a1R4W000004PyfPUAS,5,10,96,,
a1H4W00000BB53LUAT,000000458,135,a1S4W000004D1RdUAK,2022-04-28,true,2020-03-30,a1I4W00000HFZmNUAX,a1J4W00000CgFsKUAV,a1R4W000004PyfPUAS,2022-03-29,2020-03-30,0014W000025FRkKQAW,0,0,false,0034W00002DpoceQAB,544,4060,Contact,false,a154W00000926QzQAI,,,,,,,,25,247,386,a1R4W000004PyfPUAS,5,10,96,,
a1H4W00000BB53MUAT,000000459,136,a1S4W000004D1ReUAK,2022-04-28,true,2020-03-30,a1I4W00000HFZmQUAX,a1J4W00000CgFsLUAV,a1R4W000004PyfPUAS,2022-03-29,2020-03-30,0014W000025FRkKQAW,0,0,false,0034W00002DpoceQAB,544,6040,Contact,false,a154W00000926QzQAI,,,,,,,,26,250,422,a1R4W000004PyfPUAS,5,10,96,,
a1H4W00000BB53NUAT,000000460,137,a1S4W000004D1RcUAK,2022-04-28,true,2020-03-30,a1I4W00000HFZmZUAX,a1J4W00000CgFsMUAV,a1R4W000004PyfPUAS,2022-03-29,2020-03-30,0014W000025FRkKQAW,0,0,false,0034W00002DpoceQAB,544,9640,Contact,false,a154W00000926QzQAI,,,,,,,,27,364,423,a1R4W000004PyfPUAS,5,10,96,,
a1H4W00000BB53OUAT,000000461,138,a1S4W000004D1RfUAK,2023-05-28,true,2020-03-30,a1I4W00000HFZmcUAH,a1J4W00000CgFsNUAV,a1R4W000004PyfQUAS,2023-03-29,2020-03-30,0014W000025FRkKQAW,0,0,false,0034W00002DpoceQAB,909,10840,Contact,false,a154W00000926QzQAI,,,,,,,,28,367,424,a1R4W000004PyfQUAS,5,10,96,,
