EventApi__Component_Name__c,EventApi__Config__c,EventApi__Event_Page__c,EventApi__Order__c,EventApi__Title__c,EventApi__HTML__c,Errors,Id
LTE:EventSponsors,,a1jR0000001MZRMIA4,1,,,,a1iR0000001XYBXIA4
LTE:EventOverview,,a1jR0000001MZRNIA4,1,,,,a1iR0000001XYBYIA4
LTE:EventAgenda,,a1jR0000001MZQoIAO,1,,,,a1iR0000001XYBZIA4
LTE:EventVenueMap,,a1jR0000001MZQqIAO,1,,,,a1iR0000001XYBaIAO
LTE:EventOverview,,a1jR0000001MZRQIA4,1,,,,a1iR0000001XYBbIAO
LTE:EventAgenda,,a1jR0000001MZRRIA4,1,,,,a1iR0000001XYBcIAO
LTE:EventVenueMap,,a1jR0000001MZRSIA4,1,,,,a1iR0000001XYBdIAO
LTE:EventSpeakers,,a1jR0000001MZRTIA4,1,,,,a1iR0000001XYBeIAO
LTE:EventSponsors,,a1jR0000001MZRUIA4,1,,,,a1iR0000001XYBfIAO
LTE:EventOverview,{},a1jR0000001MZRVIA4,1,,,,a1iR0000001XYBgIAO
LTE:EventAgenda,,a1jR0000001MZSIIA4,1,,,,a1iR0000001XYBhIAO
LTE:EventVenueMap,,a1jR0000001MZSJIA4,1,,,,a1iR0000001XYBiIAO
LTE:EventSpeakers,,a1jR0000001MZSKIA4,1,,,,a1iR0000001XYBjIAO
LTE:EventSponsors,,a1jR0000001MZSLIA4,1,,,,a1iR0000001XYBkIAO
LTE:EventOverview,,a1jR0000001MZSMIA4,1,,,,a1iR0000001XYBlIAO
LTE:EventAgenda,,a1jR0000001MZSNIA4,1,,,,a1iR0000001XYBmIAO
LTE:EventVenueMap,,a1jR0000001MZSOIA4,1,,,,a1iR0000001XYBnIAO
LTE:EventSpeakers,,a1jR0000001MZSPIA4,1,,,,a1iR0000001XYBoIAO
LTE:EventSpeakers,,a1jR0000001MZROIA4,1,,,,a1iR0000001XYBpIAO
LTE:EventSponsors,,a1jR0000001MZRPIA4,1,,,,a1iR0000001XYBqIAO
LTE:EventSponsors,,a1jR0000001MZSQIA4,1,,,,a1iR0000001XYBrIAO
LTE:EventSpeakers,{},a1jR0000001MZRVIA4,2,,,,a1iR0000001XYBsIAO
LTE:EventAgenda,,a1jR0000001MZSSIA4,1,,,,a1iR0000001XYBtIAO
LTE:EventPrimaryVenue,{},a1jR0000001MZReIAO,1,,,,a1iR0000001XYBuIAO
LTE:EventSpeakers,,a1jR0000001MZRhIAO,1,,,,a1iR0000001XYBvIAO
LTE:FeaturedEventSponsors,{},a1jR0000001MZRiIAO,1,,,,a1iR0000001XYBwIAO
LTE:EventCustomHTML,{},a1jR0000001MZRiIAO,2,,"<h2><strong>Sponsorship</strong></h2><p><br></p><p>Sponsorship at the Annual Meeting gets your message in front of hundreds of decision-makers at independent schools across the country. More than 1,200 education professionals involved with business, finance, and administration attended the 2017 meeting in Washington, D.C., once again setting an attendance record for the Annual Meeting. Below is a list of sponsorship opportunities at this year's conference.</p><p><br></p><p><strong>Questions?</strong>&nbsp;Contact Chris Arthur at&nbsp;<a href=""mailto:chris.kalavsky@nboa.org"" target=""_blank"" style=""color: rgb(166, 56, 35);""><strong><u>chris.</u></strong></a><strong><u>arthur@mailinator.com&nbsp;</u></strong>or call 202-407-7146.</p><p><br></p><h2><strong>Levels and Offerings</strong></h2><h3><br></h3><h3><strong>Gold&nbsp;$10,000</strong></h3><ul><li>2018 Annual Meeting Mobile App</li><li>First-Time Attendee Reception (held prior to Opening Reception)</li><li>Annual Meeting Lanyard</li><li>Annual Meeting Giveaway</li></ul><p><br></p><p><a href=""https://us-tdm-tso-15eb63ff4c6-1626e3c741a.force.com/CPBase__item?id=a156A0000026udeQAA"" target=""_blank"">Click here </a>to Purchase</p><p><br></p><h3><strong>Silver&nbsp;$6,000</strong></h3><ul><li>Annual Meeting Hotel Key Card</li><li>Charging Stations</li><li>Wi-Fi*</li><li>Session Tracks</li><li><em>Net Assets</em>&nbsp;Photo Booth</li><li>Headshot Booth</li></ul><p><br></p><p><a href=""https://us-tdm-tso-15eb63ff4c6-1626e3c741a.force.com/CPBase__item?id=a156A0000026udfQAA"" target=""_blank"">Click here</a> to Purchase</p><p><br></p><h3><strong>Bronze&nbsp;$4,000</strong></h3><ul><li>Breakfast (limited quantities)</li><li>AM/PM Break (limited quantities)</li><li>Fun Run</li><li>Yoga</li></ul><p><br></p><p><a href=""https://us-tdm-tso-15eb63ff4c6-1626e3c741a.force.com/CPBase__item?id=a156A0000026udgQAA"" target=""_blank"">Click here</a> to Purchase</p><h2><br></h2>",,a1iR0000001XYBxIAO
LTE:EventCustomHTML,{},a1jR0000001MZRjIAO,1,,"<p><span style=""color: rgb(38, 38, 38);"">EXPO Hall booths can be purchased by current International Association members who are fully registered for the Annual conference. Each booth includes a small number of complimentary booth badges (2 for 10x5 and 5x10 booths; 4 for 8x10 and 10x10 booths.)</span></p><p><br></p><p><img src=""https://s3.us-east-1.amazonaws.com/fonteva-customer-media/HTML_Files/oGlTUKyh_Booths_png""></p><p><br></p><p><a href=""https://us-tdm-tso-15eb63ff4c6-1626e3c741a.force.com/CPBase__store?site=a0d6A000001RhaTQAS&amp;catalog=a0s6A000006IHwl#"" target=""_blank"">Click Here</a> to purchase Booths. </p><p><br></p><p><br></p>",,a1iR0000001XYByIAO
LTE:EventSecondaryVenues,{},a1jR0000001MZReIAO,2,,,,a1iR0000001XYBzIAO
LTE:EventOverview,{},a1jR0000001MZRkIAO,1,,,,a1iR0000001XYC0IAO
