EventApi__Component_Name__c,EventApi__Config__c,EventApi__Event_Page__c,EventApi__Order__c,EventApi__Title__c,EventApi__HTML__c,Errors,Id
LTE:EventSponsors,,a1jR0000001MZiCIAW,1,,,,a1iR0000001XYSrIAO
LTE:EventOverview,,a1jR0000001MZiDIAW,1,,,,a1iR0000001XYSsIAO
LTE:EventAgenda,,a1jR0000001MZheIAG,1,,,,a1iR0000001XYStIAO
LTE:EventVenueMap,,a1jR0000001MZhgIAG,1,,,,a1iR0000001XYSuIAO
LTE:EventOverview,,a1jR0000001MZiGIAW,1,,,,a1iR0000001XYSvIAO
LTE:EventAgenda,,a1jR0000001MZiHIAW,1,,,,a1iR0000001XYSwIAO
LTE:EventVenueMap,,a1jR0000001MZiIIAW,1,,,,a1iR0000001XYSxIAO
LTE:EventSpeakers,,a1jR0000001MZiJIAW,1,,,,a1iR0000001XYSyIAO
LTE:EventSponsors,,a1jR0000001MZiKIAW,1,,,,a1iR0000001XYSzIAO
LTE:EventOverview,{},a1jR0000001MZiLIAW,1,,,,a1iR0000001XYT0IAO
LTE:EventAgenda,,a1jR0000001MZj8IAG,1,,,,a1iR0000001XYT1IAO
LTE:EventVenueMap,,a1jR0000001MZj9IAG,1,,,,a1iR0000001XYT2IAO
LTE:EventSpeakers,,a1jR0000001MZjAIAW,1,,,,a1iR0000001XYT3IAO
LTE:EventSponsors,,a1jR0000001MZjBIAW,1,,,,a1iR0000001XYT4IAO
LTE:EventOverview,,a1jR0000001MZjCIAW,1,,,,a1iR0000001XYT5IAO
LTE:EventAgenda,,a1jR0000001MZjDIAW,1,,,,a1iR0000001XYT6IAO
LTE:EventVenueMap,,a1jR0000001MZjEIAW,1,,,,a1iR0000001XYT7IAO
LTE:EventSpeakers,,a1jR0000001MZjFIAW,1,,,,a1iR0000001XYT8IAO
LTE:EventSpeakers,,a1jR0000001MZiEIAW,1,,,,a1iR0000001XYT9IAO
LTE:EventSponsors,,a1jR0000001MZiFIAW,1,,,,a1iR0000001XYTAIA4
LTE:EventSponsors,,a1jR0000001MZjGIAW,1,,,,a1iR0000001XYTBIA4
LTE:EventSpeakers,{},a1jR0000001MZiLIAW,2,,,,a1iR0000001XYTCIA4
LTE:EventAgenda,,a1jR0000001MZjIIAW,1,,,,a1iR0000001XYTDIA4
LTE:EventPrimaryVenue,{},a1jR0000001MZiUIAW,1,,,,a1iR0000001XYTEIA4
LTE:EventSpeakers,,a1jR0000001MZiXIAW,1,,,,a1iR0000001XYTFIA4
LTE:FeaturedEventSponsors,{},a1jR0000001MZiYIAW,1,,,,a1iR0000001XYTGIA4
LTE:EventCustomHTML,{},a1jR0000001MZiYIAW,2,,"<h2><strong>Sponsorship</strong></h2><p><br></p><p>Sponsorship at the Annual Meeting gets your message in front of hundreds of decision-makers at independent schools across the country. More than 1,200 education professionals involved with business, finance, and administration attended the 2017 meeting in Washington, D.C., once again setting an attendance record for the Annual Meeting. Below is a list of sponsorship opportunities at this year's conference.</p><p><br></p><p><strong>Questions?</strong>&nbsp;Contact Chris Arthur at&nbsp;<a href=""mailto:chris.kalavsky@nboa.org"" target=""_blank"" style=""color: rgb(166, 56, 35);""><strong><u>chris.</u></strong></a><strong><u>arthur@mailinator.com&nbsp;</u></strong>or call 202-407-7146.</p><p><br></p><h2><strong>Levels and Offerings</strong></h2><h3><br></h3><h3><strong>Gold&nbsp;$10,000</strong></h3><ul><li>2018 Annual Meeting Mobile App</li><li>First-Time Attendee Reception (held prior to Opening Reception)</li><li>Annual Meeting Lanyard</li><li>Annual Meeting Giveaway</li></ul><p><br></p><p><a href=""https://us-tdm-tso-15eb63ff4c6-1626e3c741a.force.com/CPBase__item?id=a156A0000026udeQAA"" target=""_blank"">Click here </a>to Purchase</p><p><br></p><h3><strong>Silver&nbsp;$6,000</strong></h3><ul><li>Annual Meeting Hotel Key Card</li><li>Charging Stations</li><li>Wi-Fi*</li><li>Session Tracks</li><li><em>Net Assets</em>&nbsp;Photo Booth</li><li>Headshot Booth</li></ul><p><br></p><p><a href=""https://us-tdm-tso-15eb63ff4c6-1626e3c741a.force.com/CPBase__item?id=a156A0000026udfQAA"" target=""_blank"">Click here</a> to Purchase</p><p><br></p><h3><strong>Bronze&nbsp;$4,000</strong></h3><ul><li>Breakfast (limited quantities)</li><li>AM/PM Break (limited quantities)</li><li>Fun Run</li><li>Yoga</li></ul><p><br></p><p><a href=""https://us-tdm-tso-15eb63ff4c6-1626e3c741a.force.com/CPBase__item?id=a156A0000026udgQAA"" target=""_blank"">Click here</a> to Purchase</p><h2><br></h2>",,a1iR0000001XYTHIA4
LTE:EventCustomHTML,{},a1jR0000001MZiZIAW,1,,"<p><span style=""color: rgb(38, 38, 38);"">EXPO Hall booths can be purchased by current International Association members who are fully registered for the Annual conference. Each booth includes a small number of complimentary booth badges (2 for 10x5 and 5x10 booths; 4 for 8x10 and 10x10 booths.)</span></p><p><br></p><p><img src=""https://s3.us-east-1.amazonaws.com/fonteva-customer-media/HTML_Files/oGlTUKyh_Booths_png""></p><p><br></p><p><a href=""https://us-tdm-tso-15eb63ff4c6-1626e3c741a.force.com/CPBase__store?site=a0d6A000001RhaTQAS&amp;catalog=a0s6A000006IHwl#"" target=""_blank"">Click Here</a> to purchase Booths. </p><p><br></p><p><br></p>",,a1iR0000001XYTIIA4
LTE:EventSecondaryVenues,{},a1jR0000001MZiUIAW,2,,,,a1iR0000001XYTJIA4
LTE:EventOverview,{},a1jR0000001MZiaIAG,1,,,,a1iR0000001XYTKIA4
